runNumber,fallTime
239,484.39731
240,462.98676
241,471.92848
242,458.13402
243,470.75294
244,455.99794
245,472.32855
246,460.51061
247,475.94531
248,463.03269
249,473.9857
250,462.0602
251,474.26162
253,465.09186
254,454.00204
255,464.95629
256,452.28405
257,464.31066
258,449.93465
259,465.7643
260,465.59427
261,453.64272
262,468.71465
263,456.35133
264,469.38526
265,456.2
266,468.9617
267,461.71917
268,458.78089
269,469.95413
270,461.2176
271,474.29212
272,461.25363
273,472.43638
274,458.57635
275,463.11396
276,453.12255
277,463.19892
278,455.33483
279,458.04875
280,464.009
281,454.46163
282,462.51188
283,454.14794
284,464.45875
285,455.53958
286,470.55536
287,463.02434
288,472.19275
289,462.98303
290,473.64054
291,465.29616
292,469.66177
293,460.78003
294,469.16031
295,462.9018
296,468.03395
297,285.85407
300,459.94573
301,455.5389
302,463.43782
303,451.45541
304,464.71822
306,318.09502
