Goodness of fit test,GoF value,Interval,RunPeriod
kolmogorovSmirnovD,0.16685055,30,17/02/2018
kolmogorovSmirnovD,0.16893096,30,21/10/2018
kolmogorovSmirnovD,0.11668606,30,30/10/2017
kolmogorovSmirnovD,0.22721155,45,17/02/2018
kolmogorovSmirnovD,0.14412809,45,21/10/2018
kolmogorovSmirnovD,0.074623119,45,30/10/2017
kolmogorovSmirnovD,0.23701112,60,17/02/2018
kolmogorovSmirnovD,0.18829217,60,21/10/2018
kolmogorovSmirnovD,0.11069738,60,30/10/2017
kolmogorovSmirnovD,0.27623521,90,17/02/2018
kolmogorovSmirnovD,0.23403659,90,21/10/2018
kolmogorovSmirnovD,0.15735549,90,30/10/2017
kolmogorovSmirnovD,0.30996296,120,17/02/2018
kolmogorovSmirnovD,0.27606544,120,21/10/2018
kolmogorovSmirnovD,0.18117364,120,30/10/2017
kolmogorovSmirnovD,0.3335406,180,17/02/2018
kolmogorovSmirnovD,0.3252221,180,21/10/2018
kolmogorovSmirnovD,0.22190851,180,30/10/2017
kolmogorovSmirnovD,0.37824514,300,17/02/2018
kolmogorovSmirnovD,0.38029508,300,21/10/2018
kolmogorovSmirnovD,0.29279724,300,30/10/2017
vKuiper,0.16685123,30,17/02/2018
vKuiper,0.17254079,30,21/10/2018
vKuiper,0.12877868,30,30/10/2017
vKuiper,0.22721155,45,17/02/2018
vKuiper,0.14930907,45,21/10/2018
vKuiper,0.080190968,45,30/10/2017
vKuiper,0.23701112,60,17/02/2018
vKuiper,0.20025733,60,21/10/2018
vKuiper,0.1320596,60,30/10/2017
vKuiper,0.28584381,90,17/02/2018
vKuiper,0.26862009,90,21/10/2018
vKuiper,0.20187303,90,30/10/2017
vKuiper,0.34028051,120,17/02/2018
vKuiper,0.32258877,120,21/10/2018
vKuiper,0.24309551,120,30/10/2017
vKuiper,0.3935646,180,17/02/2018
vKuiper,0.40969328,180,21/10/2018
vKuiper,0.32522537,180,30/10/2017
vKuiper,0.47058272,300,17/02/2018
vKuiper,0.47762922,300,21/10/2018
vKuiper,0.39845731,300,30/10/2017
cramerVonMisesW2,40.169573,30,17/02/2018
cramerVonMisesW2,33.973639,30,21/10/2018
cramerVonMisesW2,14.472104,30,30/10/2017
cramerVonMisesW2,49.370664,45,17/02/2018
cramerVonMisesW2,15.98595,45,21/10/2018
cramerVonMisesW2,3.7951312,45,30/10/2017
cramerVonMisesW2,38.450059,60,17/02/2018
cramerVonMisesW2,17.0563,60,21/10/2018
cramerVonMisesW2,5.7414779,60,30/10/2017
cramerVonMisesW2,28.50016,90,17/02/2018
cramerVonMisesW2,17.423113,90,21/10/2018
cramerVonMisesW2,7.5149432,90,30/10/2017
cramerVonMisesW2,24.127455,120,17/02/2018
cramerVonMisesW2,16.411436,120,21/10/2018
cramerVonMisesW2,7.3445465,120,30/10/2017
cramerVonMisesW2,17.678505,180,17/02/2018
cramerVonMisesW2,15.649771,180,21/10/2018
cramerVonMisesW2,7.3626754,180,30/10/2017
cramerVonMisesW2,13.485862,300,17/02/2018
cramerVonMisesW2,11.514443,300,21/10/2018
cramerVonMisesW2,6.3754658,300,30/10/2017
watsonU2,5.1018313,30,17/02/2018
watsonU2,5.6456735,30,21/10/2018
watsonU2,3.3587978,30,30/10/2017
watsonU2,6.8474725,45,17/02/2018
watsonU2,3.1759296,45,21/10/2018
watsonU2,0.94270724,45,30/10/2017
watsonU2,6.5476718,60,17/02/2018
watsonU2,4.3819188,60,21/10/2018
watsonU2,2.0550981,60,30/10/2017
watsonU2,7.5455451,90,17/02/2018
watsonU2,6.01897,90,21/10/2018
watsonU2,3.8106348,90,30/10/2017
watsonU2,7.8820647,120,17/02/2018
watsonU2,6.7212038,120,21/10/2018
watsonU2,3.7005836,120,30/10/2017
watsonU2,7.138473,180,17/02/2018
watsonU2,7.5513447,180,21/10/2018
watsonU2,4.6068021,180,30/10/2017
watsonU2,6.7039452,300,17/02/2018
watsonU2,6.1605019,300,21/10/2018
watsonU2,3.8796675,300,30/10/2017
andersonDarlingA2,243.78696,30,17/02/2018
andersonDarlingA2,inf,30,21/10/2018
andersonDarlingA2,inf,30,30/10/2017
andersonDarlingA2,260.21061,45,17/02/2018
andersonDarlingA2,inf,45,21/10/2018
andersonDarlingA2,18.108177,45,30/10/2017
andersonDarlingA2,192.22344,60,17/02/2018
andersonDarlingA2,inf,60,21/10/2018
andersonDarlingA2,29.364525,60,30/10/2017
andersonDarlingA2,136.05473,90,17/02/2018
andersonDarlingA2,86.416604,90,21/10/2018
andersonDarlingA2,39.766182,90,30/10/2017
andersonDarlingA2,114.31728,120,17/02/2018
andersonDarlingA2,79.75531,120,21/10/2018
andersonDarlingA2,40.223635,120,30/10/2017
andersonDarlingA2,83.705426,180,17/02/2018
andersonDarlingA2,74.958982,180,21/10/2018
andersonDarlingA2,39.061668,180,30/10/2017
andersonDarlingA2,62.884004,300,17/02/2018
andersonDarlingA2,53.662577,300,21/10/2018
andersonDarlingA2,32.474293,300,30/10/2017
