Type,Accuracy,Epoch
data,0.67233271,0
data,0.96042565,1000
data,0.9644145,2000
data,0.96562454,3000
data,0.96592565,4000
data,0.96554647,5000
data,0.96650558,6000
data,0.96690335,7000
data,0.96708364,8000
data,0.96713197,9000
data,0.96736989,10000
data,0.96744796,11000
data,0.96761524,12000
data,0.96745353,13000
data,0.96745725,14000
data,0.96759851,15000
data,0.96752974,16000
data,0.9678513,17000
data,0.96796097,18000
data,0.96816543,19000
data,0.96797026,20000
data,0.96770074,21000
data,0.96822677,22000
data,0.96787175,23000
data,0.96822862,24000
data,0.96839591,25000
data,0.96789777,25000
data,0.9681803,26000
data,0.968171,27000
data,0.96809851,28000
data,0.96827695,29000
data,0.96841078,30000
data,0.96848699,31000
data,0.96842565,32000
data,0.96822491,33000
data,0.96854275,34000
data,0.96852602,35000
data,0.96857249,36000
data,0.96862454,37000
data,0.96854089,38000
data,0.96840892,39000
data,0.9686487,40000
data,0.96868401,41000
data,0.96880112,42000
data,0.96865242,43000
data,0.96845353,44000
data,0.96840706,45000
data,0.96862639,46000
data,0.96825836,47000
data,0.96868959,48000
data,0.96851859,49000
data,0.96862639,50000
data,0.96850929,51000
data,0.96881227,52000
data,0.96868959,53000
data,0.96871747,54000
data,0.96883457,55000
data,0.96875279,56000
data,0.96888104,57000
data,0.96870446,58000
data,0.96875465,59000
data,0.96863197,60000
data,0.96884015,61000
data,0.96862454,62000
data,0.96789777,63000
data,0.9688197,64000
data,0.96872491,65000
data,0.96884387,66000
data,0.96896468,67000
data,0.96886989,68000
data,0.96861152,69000
data,0.96893866,70000
data,0.96878439,71000
data,0.96874721,72000
data,0.96884387,73000
data,0.96883271,74000
data,0.96878439,75000
data,0.96886059,76000
data,0.96915613,77000
data,0.96912825,78000
data,0.96898699,79000
data,0.96880112,80000
data,0.96905204,81000
data,0.96892751,82000
testData,0.8498197,0
testData,0.9606487,1000
testData,0.96404833,2000
testData,0.9649684,3000
testData,0.96527138,4000
testData,0.9644145,5000
testData,0.96582528,6000
testData,0.96579182,7000
testData,0.96578439,8000
testData,0.96587918,9000
testData,0.96573792,10000
testData,0.96594052,11000
testData,0.96590706,12000
testData,0.96575093,13000
testData,0.9660223,14000
testData,0.96599071,15000
testData,0.96542751,16000
testData,0.96601115,17000
testData,0.96580855,18000
testData,0.96561152,19000
testData,0.96583829,20000
testData,0.96510223,21000
testData,0.96585688,22000
testData,0.96533643,23000
testData,0.96597584,24000
testData,0.96566729,25000
testData,0.96602045,25000
testData,0.96574349,26000
testData,0.96584572,27000
testData,0.96597398,28000
testData,0.96586803,29000
testData,0.96563011,30000
testData,0.96586245,31000
testData,0.96589591,32000
testData,0.96589963,33000
testData,0.96582156,34000
testData,0.96593309,35000
testData,0.96575093,36000
testData,0.96563011,37000
testData,0.96590892,38000
testData,0.9658829,39000
testData,0.96594981,40000
testData,0.96579368,41000
testData,0.96592193,42000
testData,0.96600372,43000
testData,0.96570446,44000
testData,0.96574164,45000
testData,0.96570818,46000
testData,0.96597026,47000
testData,0.96576208,48000
testData,0.96595911,49000
testData,0.96550929,50000
testData,0.96585316,51000
testData,0.9657974,52000
testData,0.96486617,53000
testData,0.96604275,54000
testData,0.96600558,55000
testData,0.96580855,56000
testData,0.96599257,57000
testData,0.96600743,58000
testData,0.96597584,59000
testData,0.96585502,60000
testData,0.96583271,61000
testData,0.96579368,62000
testData,0.96475465,63000
testData,0.9659684,64000
testData,0.96598513,65000
testData,0.96582528,66000
testData,0.96597398,67000
testData,0.96592565,68000
testData,0.96611896,69000
testData,0.96600186,70000
testData,0.96599257,71000
testData,0.96588104,72000
testData,0.96585688,73000
testData,0.96584572,74000
testData,0.96607993,75000
testData,0.96602788,76000
testData,0.96598699,77000
testData,0.96609108,78000
testData,0.96596654,79000
testData,0.96601673,80000
testData,0.96608736,81000
testData,0.96616914,82000
